1650745805092, -nan, -nan, -nan
1650745805094, -nan, -nan, -nan
1650745805095, -nan, -nan, -nan
1650745805097, -nan, -nan, -nan
1650745805099, -nan, -nan, -nan
1650745805101, -nan, -nan, -nan
1650745805103, -nan, -nan, -nan
1650745805105, -nan, -nan, -nan
1650745805106, -nan, -nan, -nan
1650745805108, -nan, -nan, -nan
1650745805109, -nan, -nan, -nan
1650745805111, -nan, -nan, -nan
1650745805113, -nan, -nan, -nan
1650745805117, -nan, -nan, -nan
1650745805120, -nan, -nan, -nan
1650745805122, -nan, -nan, -nan
1650745805123, -nan, -nan, -nan
1650745805124, -nan, -nan, -nan
1650745805126, -nan, -nan, -nan
1650745805127, -nan, -nan, -nan
1650745805134, -nan, -nan, -nan
1650745805137, -nan, -nan, -nan
1650745805139, -nan, -nan, -nan
1650745805141, -nan, -nan, -nan
1650745805142, -nan, -nan, -nan
1650745805143, -nan, -nan, -nan
1650745805144, -nan, -nan, -nan
1650745805145, -nan, -nan, -nan
1650745805146, -nan, -nan, -nan
1650745805148, -nan, -nan, -nan
1650745805150, -nan, -nan, -nan
1650745805151, -nan, -nan, -nan
1650745805152, -nan, -nan, -nan
1650745805153, -nan, -nan, -nan
1650745805154, -nan, -nan, -nan
1650745805156, -nan, -nan, -nan
1650745805159, -nan, -nan, -nan
1650745805164, -nan, -nan, -nan
1650745805168, -nan, -nan, -nan
1650745805170, -nan, -nan, -nan
1650745805171, -nan, -nan, -nan
1650745805172, -nan, -nan, -nan
1650745805174, -nan, -nan, -nan
1650745805176, -nan, -nan, -nan
1650745805179, -nan, -nan, -nan
1650745805181, -nan, -nan, -nan
1650745805183, -nan, -nan, -nan
1650745805185, -nan, -nan, -nan
1650745805187, -nan, -nan, -nan
1650745805190, -nan, -nan, -nan
1650745805191, -nan, -nan, -nan
1650745805196, -nan, -nan, -nan
1650745805198, -nan, -nan, -nan
1650745805200, -nan, -nan, -nan
1650745805201, -nan, -nan, -nan
1650745805203, -nan, -nan, -nan
1650745805204, -nan, -nan, -nan
1650745805205, -nan, -nan, -nan
1650745805206, -nan, -nan, -nan
1650745805210, -nan, -nan, -nan
1650745805217, -nan, -nan, -nan
1650745805219, -nan, -nan, -nan
1650745805221, -nan, -nan, -nan
1650745805222, -nan, -nan, -nan
1650745805228, -nan, -nan, -nan
1650745805230, -nan, -nan, -nan
1650745805231, -nan, -nan, -nan
1650745805233, -nan, -nan, -nan
1650745805234, -nan, -nan, -nan
1650745805235, -nan, -nan, -nan
1650745805237, -nan, -nan, -nan
1650745805238, -nan, -nan, -nan
1650745805240, -nan, -nan, -nan
1650745805243, -nan, -nan, -nan
1650745805245, -nan, -nan, -nan
1650745805247, -nan, -nan, -nan
1650745805248, -nan, -nan, -nan
1650745805250, -nan, -nan, -nan
1650745805251, -nan, -nan, -nan
1650745805252, -nan, -nan, -nan
1650745805254, -nan, -nan, -nan
1650745805255, -nan, -nan, -nan
1650745805257, -nan, -nan, -nan
1650745805258, -nan, -nan, -nan
1650745805259, -nan, -nan, -nan
1650745805261, -nan, -nan, -nan
1650745805262, -nan, -nan, -nan
1650745805264, -nan, -nan, -nan
1650745805266, -nan, -nan, -nan
